SAL_CODE_2021,P_NS_0_14,P_NS_15_24,P_NS_25_34,P_NS_35_44,P_NS_45_54,P_NS_55_64,P_NS_65_74,P_NS_75_84,P_NS_85_over,P_NS_Tot,P_Tot_0_14,P_Tot_15_24,P_Tot_25_34,P_Tot_35_44,P_Tot_45_54,P_Tot_55_64,P_Tot_65_74,P_Tot_75_84,P_Tot_85_over,P_Tot_Tot
SAL10078,0,0,0,0,0,0,0,0,0,0,3,3,0,3,3,0,4,0,0,16
SAL10079,18,12,8,20,11,11,3,10,3,96,223,152,190,196,166,172,144,76,36,1355
SAL10080,10,0,6,0,3,3,4,4,0,30,35,25,18,15,26,43,33,17,0,212
SAL10081,0,0,0,0,4,0,0,0,0,4,3,0,0,0,3,0,3,0,0,9
SAL10082,3,3,7,3,5,3,11,6,0,41,87,27,25,53,52,54,99,34,14,445
SAL10083,0,0,3,0,0,0,3,0,0,6,7,4,3,0,4,4,4,0,0,26
SAL10084,0,0,0,0,0,0,0,0,0,0,5,0,5,6,0,0,6,0,0,22
SAL10085,9,5,6,6,4,11,0,0,0,41,39,10,11,22,22,33,18,5,0,160
SAL10086,514,802,373,247,220,241,171,165,120,2853,4272,4134,3251,2626,2521,2760,2253,1542,599,23958
SAL10087,186,175,286,177,142,118,68,70,66,1288,1889,1422,2855,1925,1322,1089,766,511,246,12025
SAL10088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10089,0,5,4,3,5,5,13,10,3,48,19,36,73,30,42,77,148,131,29,585
SAL10090,4,4,5,7,8,3,0,0,0,31,107,60,47,78,90,93,107,31,13,626
SAL10091,87,44,104,111,69,39,46,17,10,527,1852,880,1464,1926,1230,874,702,345,156,9429
SAL10092,0,0,0,0,0,0,0,0,0,0,8,10,4,6,4,7,11,4,0,54
SAL10093,0,0,0,0,0,3,0,0,0,3,9,3,9,4,4,10,0,0,0,39
SAL10094,35,31,25,24,24,26,18,9,0,192,577,454,263,394,524,485,365,213,66,3341
SAL10095,0,3,0,9,7,7,8,0,0,34,30,19,14,22,32,73,82,42,4,318
SAL10096,7,3,3,6,5,4,5,0,0,33,35,26,12,27,38,80,52,5,3,278
SAL10097,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,9,0,5,0,22
SAL10098,140,66,54,74,68,50,40,12,5,509,899,537,467,477,412,420,238,132,53,3635
SAL10099,150,156,294,199,136,175,107,71,39,1327,2701,2711,5272,3531,2561,2378,1816,1237,816,23023
SAL10100,11,8,3,4,9,12,5,9,4,65,102,69,41,41,83,119,113,70,24,662
SAL10101,3,3,11,6,9,16,8,4,0,60,83,40,59,30,48,57,28,13,0,358
SAL10102,154,84,60,63,49,43,31,18,13,515,786,558,488,387,424,427,387,182,108,3747
SAL10103,64,37,36,26,36,33,21,18,10,281,958,622,491,598,661,586,426,194,56,4592
SAL10104,54,30,38,54,35,27,19,13,3,273,1311,658,929,1232,775,547,436,206,69,6163
SAL10105,5,0,0,0,0,0,0,0,0,5,9,5,3,9,10,3,14,8,0,61
SAL10106,12,3,3,8,6,5,3,0,0,40,103,48,56,74,79,73,74,24,5,536
SAL10107,679,619,841,550,413,379,255,129,97,3962,6872,6488,9013,5317,4000,3657,2288,1189,515,39339
SAL10108,0,0,0,0,0,0,0,0,0,0,33,12,3,14,19,22,12,8,4,127
SAL10109,25,9,11,31,16,18,15,8,0,133,542,278,269,362,364,406,321,142,38,2722
SAL10110,163,65,94,105,54,48,39,59,96,723,1738,720,1488,1170,599,455,327,202,140,6839
SAL10111,0,5,0,0,6,3,0,0,0,14,17,26,13,8,29,26,15,18,3,155
SAL10112,121,74,46,78,90,86,57,28,19,599,1971,1246,652,1145,1526,1599,1305,646,292,10382
SAL10113,3,0,0,0,0,0,3,0,0,6,10,3,0,0,12,6,4,4,0,39
SAL10114,3,0,0,0,0,9,4,4,0,20,20,28,14,14,27,44,37,17,0,201
SAL10115,92,28,19,43,53,41,24,18,3,321,978,587,316,574,742,657,540,257,54,4705
SAL10116,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10117,17,9,15,11,19,17,20,8,0,116,308,176,256,188,191,276,192,98,15,1700
SAL10118,0,0,0,0,0,4,0,0,0,4,27,23,12,11,37,28,19,0,0,157
SAL10119,16,5,0,0,7,6,0,3,0,37,87,57,45,40,74,67,38,19,8,435
SAL10120,0,0,4,0,0,0,3,0,0,7,22,20,24,18,26,46,23,11,4,194
SAL10121,5,0,4,5,0,5,5,3,0,27,36,13,19,20,7,32,22,14,3,166
SAL10122,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,5,0,3,0,11
SAL10123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4
SAL10124,4,0,0,0,0,4,0,0,0,8,15,7,3,10,14,4,0,0,0,53
SAL10125,0,0,0,0,0,0,0,0,0,0,5,3,0,0,6,3,0,0,0,17
SAL10126,0,0,0,0,0,0,0,0,0,0,3,6,0,0,0,0,3,5,0,17
SAL10127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,5
SAL10128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,5
SAL10129,0,0,0,3,0,0,0,3,0,6,5,0,0,3,5,0,0,9,0,22
SAL10130,0,3,0,0,0,3,0,0,0,6,14,11,12,5,3,29,9,12,0,95
SAL10131,3,6,0,5,0,4,0,3,0,21,20,23,13,20,23,15,30,8,4,156
SAL10132,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,4,7,0,0,20
SAL10133,3,6,4,0,5,0,9,0,0,27,30,14,17,26,20,15,29,14,6,171
SAL10134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,4
SAL10135,3,3,0,0,4,0,3,0,0,13,14,11,5,11,12,13,19,6,0,91
SAL10136,0,0,0,0,4,0,0,0,0,4,3,4,0,5,5,3,0,0,0,20
SAL10137,0,0,0,0,0,0,0,0,0,0,9,7,0,6,3,11,10,3,0,49
SAL10138,6,0,0,0,3,4,0,0,0,13,11,3,7,3,8,6,7,0,0,45
SAL10139,0,0,0,0,0,4,0,0,0,4,10,3,8,0,17,12,8,4,0,62
SAL10140,0,0,0,0,0,0,0,0,0,0,6,5,0,0,11,15,8,0,0,45
SAL10141,7,0,0,0,0,4,0,0,0,11,7,0,0,0,4,5,4,5,0,25
SAL10142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,12
SAL10143,0,0,0,0,3,0,0,0,0,3,8,9,6,11,10,16,6,3,0,69
SAL10144,9,3,0,9,4,5,6,4,0,40,126,51,62,85,88,65,56,29,11,573
SAL10145,5,0,0,0,0,4,0,0,0,9,15,10,5,3,16,36,15,9,5,114
SAL10146,18,6,0,6,16,11,0,4,0,61,172,114,113,107,126,129,115,96,17,989
SAL10147,0,0,0,0,0,0,0,0,0,0,15,6,5,11,0,6,4,0,0,47
SAL10148,0,0,0,7,6,0,0,0,0,13,67,31,33,40,48,52,37,12,3,323
SAL10149,0,0,0,0,0,0,0,0,0,0,6,3,0,3,4,0,4,0,0,20
SAL10150,7,0,0,0,0,0,0,0,0,7,5,0,0,3,0,0,3,0,0,11
SAL10151,0,0,0,3,0,0,0,0,0,3,8,3,0,3,16,8,13,0,0,51
SAL10152,0,0,0,0,0,5,0,0,0,5,13,9,7,3,10,13,6,4,0,65
SAL10153,0,4,0,0,4,5,0,0,0,13,8,8,0,13,6,9,7,0,0,51
SAL10154,66,41,43,56,72,64,32,27,10,411,1616,839,849,1205,1284,944,668,506,161,8072
SAL10155,37,31,6,16,28,28,15,9,3,173,848,481,140,382,674,484,315,134,87,3545
SAL10156,64,48,24,40,42,43,31,24,6,322,1054,640,597,727,727,748,640,461,128,5722
SAL10157,0,0,0,0,0,0,0,0,0,0,6,3,0,6,0,4,0,0,0,19
SAL10158,8,0,5,9,3,3,5,0,0,33,30,15,14,10,22,23,24,4,5,147
SAL10159,0,0,0,0,0,0,0,0,0,0,6,0,0,0,3,4,4,0,0,17
SAL10160,5,5,5,6,0,10,12,0,0,43,38,10,13,22,15,21,40,14,0,173
SAL10161,3,3,0,0,5,0,0,4,0,15,16,16,10,10,7,24,10,0,0,93
SAL10162,7,10,0,7,3,5,0,0,0,32,41,26,32,22,31,33,30,12,5,232
SAL10163,134,62,79,77,83,103,128,106,94,866,1164,747,881,932,1004,1266,1578,1265,900,9737
SAL10164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10165,127,65,83,129,108,102,56,39,14,723,1804,815,1297,1784,1709,1342,1047,522,136,10456
SAL10166,14,14,14,21,21,29,18,10,0,141,271,180,219,252,324,279,237,118,33,1913
SAL10167,10,7,4,7,4,6,5,3,0,46,116,86,82,73,110,125,91,40,11,734
SAL10168,9,14,0,8,10,8,4,0,0,53,75,70,42,54,78,96,38,14,4,471
SAL10169,36,15,19,20,25,28,24,11,4,182,228,112,128,114,170,202,166,87,44,1251
SAL10170,0,0,0,0,0,0,0,0,0,0,3,4,3,0,4,11,0,6,0,31
SAL10171,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10172,0,0,0,0,0,3,0,0,0,3,26,12,8,13,20,22,24,12,4,141
SAL10173,0,0,0,0,0,0,0,0,0,0,6,0,0,4,0,0,0,0,0,10
SAL10174,7,7,4,7,7,4,10,5,0,51,147,89,64,95,96,144,115,46,15,811
SAL10175,73,26,40,54,52,35,25,16,24,345,616,227,289,433,424,329,270,99,63,2750
SAL10176,0,0,0,0,0,0,0,0,0,0,4,0,5,4,3,8,9,0,4,37
SAL10177,0,0,0,0,0,0,0,0,0,0,25,10,9,17,21,15,10,4,6,117
SAL10178,35,28,18,25,35,35,36,13,0,225,1070,660,419,739,715,707,808,271,155,5544
SAL10179,51,27,38,28,30,18,29,9,7,237,558,352,445,472,467,371,322,215,76,3278
SAL10180,6,13,37,18,6,0,9,3,0,92,59,54,182,103,54,22,19,7,0,500
SAL10181,760,467,642,517,385,325,222,150,148,3616,7097,4490,6414,4926,3925,3757,2424,1259,627,34919
SAL10182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10183,0,0,0,0,0,0,0,0,0,0,0,11,3,0,15,14,9,0,0,52
SAL10184,4,0,0,0,8,0,4,0,0,16,27,9,10,13,18,26,22,17,4,146
SAL10185,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,5,4,0,15
SAL10186,215,152,131,115,163,117,102,125,79,1199,2505,1646,1485,1603,1926,2063,2314,1976,936,16454
SAL10187,0,0,0,0,0,4,0,0,0,4,5,3,0,0,9,7,9,3,0,36
SAL10188,7,18,16,10,21,20,3,6,0,101,162,204,189,141,205,195,122,62,15,1295
SAL10189,0,3,3,5,10,7,4,3,4,39,9,3,8,21,18,27,22,9,4,121
SAL10190,0,0,0,0,0,0,0,0,0,0,3,0,0,7,0,7,3,3,0,23
SAL10191,29,13,10,11,14,18,20,15,5,135,141,72,66,71,84,122,121,70,36,783
SAL10192,0,0,10,11,12,3,5,7,0,48,9,4,59,54,34,31,9,10,0,210
SAL10193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10194,40,32,7,26,26,37,18,3,0,189,751,677,387,429,634,688,381,122,63,4132
SAL10195,102,47,65,62,29,18,7,4,0,334,1794,571,1144,1289,472,299,133,25,8,5735
SAL10196,8,14,16,15,15,16,6,7,0,97,374,301,274,284,344,305,226,143,59,2310
SAL10197,29,28,15,19,21,21,17,9,9,168,435,268,238,321,322,302,255,144,52,2337
SAL10198,5,4,5,6,5,3,5,0,0,33,73,51,43,42,72,70,65,26,17,459
SAL10199,83,60,28,46,40,29,32,21,9,348,916,557,454,544,612,564,496,299,78,4520
SAL10200,15,3,6,10,18,26,16,15,12,121,208,104,126,100,172,282,288,180,102,1562
SAL10201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10202,0,0,0,4,3,6,3,0,0,16,36,8,13,16,28,36,43,9,0,189
SAL10203,13,5,0,0,10,8,3,3,0,42,84,38,20,35,76,68,54,21,7,403
SAL10204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10205,16,16,13,9,14,11,11,0,0,90,311,215,240,228,226,247,204,54,14,1739
SAL10206,20,6,29,7,21,28,19,6,3,139,307,184,210,190,240,269,310,140,40,1890
SAL10207,23,5,11,8,17,24,19,13,7,127,170,83,95,93,148,237,248,196,62,1332
SAL10208,99,57,52,51,49,55,47,25,8,443,1097,725,731,741,716,759,683,422,135,6009
SAL10209,5,15,3,3,8,6,10,0,0,50,110,96,47,66,122,112,114,37,14,718
SAL10210,0,0,0,0,0,0,3,0,0,3,31,11,16,14,21,22,27,4,0,146
SAL10211,0,0,0,0,0,0,0,0,0,0,5,4,7,9,12,17,27,12,4,97
SAL10212,4,0,0,0,0,0,0,0,0,4,4,0,5,4,4,3,0,0,0,20
SAL10213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10214,0,4,0,0,4,0,4,0,0,12,34,28,5,18,36,40,31,13,4,209
SAL10215,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,7,0,0,0,13
SAL10216,0,3,0,0,0,0,0,0,0,3,4,3,3,0,9,7,0,3,0,29
SAL10217,3,7,0,0,7,3,7,8,3,38,52,25,30,30,53,65,78,50,8,391
SAL10218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10219,0,0,3,0,0,0,0,0,0,3,25,10,22,16,18,40,10,3,0,144
SAL10220,3,0,0,3,0,0,0,0,0,6,3,0,0,3,0,0,0,0,0,6
SAL10221,3,3,6,0,3,3,0,3,0,21,30,14,12,11,25,18,15,5,6,136
SAL10222,0,0,0,0,4,0,0,0,0,4,7,0,0,0,4,6,4,0,0,21
SAL10223,23,14,12,11,19,26,12,17,0,134,255,155,167,146,200,245,211,139,57,1575
SAL10224,284,161,136,157,140,124,102,48,29,1181,2425,1400,1316,1271,1165,1112,816,491,239,10235
SAL10225,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,4
SAL10226,0,0,0,0,0,0,5,3,0,8,17,8,4,6,15,7,23,6,0,86
SAL10227,230,120,118,130,111,113,116,115,148,1201,2402,1214,1346,1561,1371,1533,1477,991,616,12511
SAL10228,29,20,19,24,41,27,21,14,3,198,233,176,171,162,238,311,329,192,94,1906
SAL10229,29,18,21,10,32,29,19,18,7,183,180,119,175,133,205,235,255,205,71,1578
SAL10230,5,0,0,0,3,0,3,0,0,11,4,3,4,0,12,13,0,0,0,36
SAL10231,73,88,85,79,61,78,54,41,32,591,892,967,1141,734,729,866,781,584,304,6998
SAL10232,31,13,17,11,18,17,11,17,3,138,216,107,115,123,172,198,193,100,45,1269
SAL10233,368,193,174,259,217,186,134,82,40,1653,8109,4074,3575,6566,5168,3878,3378,1979,693,37420
SAL10234,0,0,0,0,0,0,0,0,0,0,56,28,31,26,41,45,36,13,6,282
SAL10235,20,5,7,7,8,12,4,9,0,72,124,53,61,80,90,195,159,77,11,850
SAL10236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10237,24,29,8,17,39,43,32,46,26,264,462,357,184,250,465,537,613,629,305,3802
SAL10238,86,67,21,60,72,53,37,26,11,433,1577,1066,651,989,1247,1050,652,428,162,7822
SAL10239,3,6,16,13,11,3,0,4,0,56,149,125,353,246,131,96,51,10,3,1164
SAL10240,0,0,0,0,0,4,0,0,0,4,9,0,0,9,12,20,10,8,0,68
SAL10241,0,0,0,0,0,0,0,0,0,0,13,3,10,8,3,6,8,12,0,63
SAL10242,0,0,0,0,0,5,3,0,0,8,11,3,14,10,7,29,42,8,4,128
SAL10243,56,57,30,39,61,39,15,7,5,309,2036,1411,744,1369,1623,1008,541,264,48,9044
SAL10244,0,10,0,0,0,0,0,0,0,10,31,19,5,17,15,14,25,5,0,131
SAL10245,3,0,0,0,0,0,6,4,0,13,29,15,24,19,27,39,18,13,4,188
SAL10246,0,0,0,0,0,0,0,0,0,0,15,5,6,10,8,3,4,0,0,51
SAL10247,4,3,0,0,0,4,0,0,0,11,31,10,3,13,24,22,13,7,4,127
SAL10248,24,19,9,15,17,9,3,0,0,96,198,103,122,125,95,110,95,43,17,908
SAL10249,77,53,32,69,74,71,48,36,22,482,2001,1289,724,1335,1520,1263,1093,767,292,10284
SAL10250,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10251,11,0,7,5,11,0,4,0,0,38,76,40,42,38,53,44,53,16,4,366
SAL10252,0,0,0,0,0,0,0,0,0,0,8,3,5,8,0,3,6,4,0,37
SAL10253,136,64,48,53,57,55,44,58,66,581,951,538,549,546,558,683,572,413,198,5008
SAL10254,4,0,0,0,0,0,0,0,0,4,35,10,20,17,15,10,4,9,3,123
SAL10255,0,0,0,0,0,4,0,0,0,4,5,3,6,6,4,6,4,0,0,34
SAL10256,0,0,0,0,0,0,0,0,0,0,16,10,7,12,19,30,19,11,0,124
SAL10257,91,60,54,55,70,60,40,17,8,455,1246,807,749,848,938,816,589,401,159,6553
SAL10258,0,0,0,5,0,0,3,0,0,8,37,16,19,28,33,28,21,4,0,186
SAL10259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,3
SAL10260,8,0,0,0,0,3,0,0,3,14,27,15,4,16,16,22,13,0,3,116
SAL10261,8,8,5,4,4,10,10,0,0,49,118,75,64,62,78,84,68,25,0,574
SAL10262,0,0,4,0,0,0,0,0,0,4,11,3,6,3,5,4,8,6,0,46
SAL10263,71,37,39,53,58,58,34,9,7,366,1550,1180,810,1176,1229,1240,848,279,79,8391
SAL10264,80,60,57,49,57,50,34,33,3,423,734,491,579,497,500,528,412,226,65,4032
SAL10265,11,0,0,3,3,0,3,0,0,20,20,7,7,4,25,23,14,12,0,112
SAL10266,4,6,0,0,12,0,9,3,0,34,58,23,23,36,33,41,42,14,4,274
SAL10267,4,0,0,3,5,0,0,0,0,12,8,9,3,7,6,28,32,13,0,106
SAL10268,51,30,20,21,19,21,13,3,3,181,545,287,340,284,266,280,230,76,27,2335
SAL10269,10,5,4,6,5,8,9,8,0,55,158,91,102,97,94,107,88,52,15,804
SAL10270,7,5,5,0,6,6,6,6,0,41,70,38,31,18,52,64,47,21,9,350
SAL10271,97,93,120,85,78,66,62,33,12,646,1821,1246,1593,1449,1409,1257,1083,555,177,10590
SAL10272,0,0,0,4,0,0,0,0,0,4,16,6,12,15,9,11,7,11,0,87
SAL10273,96,44,29,52,59,36,41,22,9,388,823,384,295,449,565,543,487,271,99,3916
SAL10274,0,0,0,0,0,3,0,0,0,3,23,13,3,6,25,24,16,9,0,119
SAL10275,0,0,0,3,0,0,0,0,0,3,11,4,8,3,0,3,0,0,0,29
SAL10276,99,64,66,50,63,68,76,45,26,557,1052,776,796,733,871,1077,1033,629,323,7290
SAL10277,104,55,51,43,54,33,20,31,19,410,1166,759,748,772,825,752,589,469,205,6285
SAL10278,13,8,6,8,17,10,11,3,4,80,135,147,115,96,175,169,138,65,23,1063
SAL10279,233,172,222,223,174,179,135,98,80,1516,2214,1690,2210,1902,1811,1630,1182,789,348,13776
SAL10280,10,4,5,0,8,4,10,4,0,45,47,24,22,26,29,50,54,23,0,275
SAL10281,0,0,0,0,0,0,0,0,0,0,0,0,3,0,4,10,0,0,0,17
SAL10282,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10283,58,45,24,33,68,45,48,43,27,391,1596,1069,463,961,1375,947,894,953,462,8720
SAL10284,5,10,3,10,6,9,3,5,0,51,92,60,43,51,78,112,106,38,9,589
SAL10285,0,0,0,0,0,0,0,0,0,0,7,4,5,3,12,17,9,3,0,60
SAL10286,7,0,0,0,0,3,0,0,0,10,31,13,7,11,20,22,24,5,0,133
SAL10287,0,3,0,0,5,4,4,0,0,16,24,11,10,4,34,32,42,21,0,178
SAL10288,6,0,0,3,0,0,0,0,0,9,23,3,5,16,13,25,23,8,3,119
SAL10289,6,7,6,0,7,15,7,7,5,60,77,36,38,37,71,90,86,33,19,487
