SAL_CODE_2021,CF_C_BPBO_DC_0_4,CF_C_BPBO_DC_5_9,CF_C_BPBO_DC_10_12,CF_C_BPBO_DC_13_14,CF_C_BPBO_DC_15_17,CF_C_BPBO_DC_18_20,CF_C_BPBO_DC_21_24,CF_C_BPBO_Tot,CF_C_FBO_DC_0_4,CF_C_FBO_DC_5_9,CF_C_FBO_DC_10_12,CF_C_FBO_DC_13_14,CF_C_FBO_DC_15_17,CF_C_FBO_DC_18_20,CF_C_FBO_DC_21_24,CF_C_FBO_Tot,CF_C_MBO_DC_0_4,CF_C_MBO_DC_5_9,CF_C_MBO_DC_10_12,CF_C_MBO_DC_13_14,CF_C_MBO_DC_15_17,CF_C_MBO_DC_18_20,CF_C_MBO_DC_21_24,CF_C_MBO_Tot,CF_C_BPBAu_DC_0_4,CF_C_BPBAu_DC_5_9,CF_C_BPBAu_DC_10_12,CF_C_BPBAu_DC_13_14,CF_C_BPBAu_DC_15_17,CF_C_BPBAu_DC_18_20,CF_C_BPBAu_DC_21_24,CF_C_BPBAu_Tot,CF_C_BP_NS_DC_0_4,CF_C_BP_NS_DC_5_9,CF_C_BP_NS_DC_10_12,CF_C_BP_NS_DC_13_14,CF_C_BP_NS_DC_15_17,CF_C_BP_NS_DC_18_20,CF_C_BP_NS_DC_21_24,CF_C_BP_NS_Tot,CF_C_Tot_DC_0_4,CF_C_Tot_DC_5_9,CF_C_Tot_DC_10_12,CF_C_Tot_DC_13_14,CF_C_Tot_DC_15_17,CF_C_Tot_DC_18_20,CF_C_Tot_DC_21_24,CF_C_Tot_Tot,One_PF_BPBO_DC_0_4,One_PF_BPBO_DC_5_9,One_PF_BPBO_DC_10_12,One_PF_BPBO_DC_13_14,One_PF_BPBO_DC_15_17,One_PF_BPBO_DC_18_20,One_PF_BPBO_DC_21_24,One_PF_BPBO_Tot,One_PF_FBO_DC_0_4,One_PF_FBO_DC_5_9,One_PF_FBO_DC_10_12,One_PF_FBO_DC_13_14,One_PF_FBO_DC_15_17,One_PF_FBO_DC_18_20,One_PF_FBO_DC_21_24,One_PF_FBO_Tot,One_PF_MBO_DC_0_4,One_PF_MBO_DC_5_9,One_PF_MBO_DC_10_12,One_PF_MBO_DC_13_14,One_PF_MBO_DC_15_17,One_PF_MBO_DC_18_20,One_PF_MBO_DC_21_24,One_PF_MBO_Tot,One_PF_BPBAu_DC_0_4,One_PF_BPBAu_DC_5_9,One_PF_BPBAu_DC_10_12,One_PF_BPBAu_DC_13_14,One_PF_BPBAu_DC_15_17,One_PF_BPBAu_DC_18_20,One_PF_BPBAu_DC_21_24,One_PF_BPBAu_Tot,One_PF_BP_NS_DC_0_4,One_PF_BP_NS_DC_5_9,One_PF_BP_NS_DC_10_12,One_PF_BP_NS_DC_13_14,One_PF_BP_NS_DC_15_17,One_PF_BP_NS_DC_18_20,One_PF_BP_NS_DC_21_24,One_PF_BP_NS_Tot,One_PF_Tot_DC_0_4,One_PF_Tot_DC_5_9,One_PF_Tot_DC_10_12,One_PF_Tot_DC_13_14,One_PF_Tot_DC_15_17,One_PF_Tot_DC_18_20,One_PF_Tot_DC_21_24,One_PF_Tot_Tot,Tot_DC_0_4,Tot_DC_5_9,Tot_DC_10_12,Tot_DC_13_14,Tot_DC_15_17,Tot_DC_18_20,Tot_DC_21_24,Tot_Tot
SAL10019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,4,0,0,20,0,0,0,0,0,0,0,0,4,6,4,0,4,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,4,0,4,0,0,20
SAL10020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
SAL10021,0,0,0,0,0,0,0,3,0,0,4,4,5,0,0,20,0,0,0,0,0,0,0,4,33,47,27,31,29,9,0,168,0,0,0,0,0,0,0,0,37,55,28,36,32,11,3,202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,3,11,9,6,0,5,0,0,35,0,0,0,0,0,0,0,0,11,9,6,0,9,9,0,37,47,60,34,38,39,14,3,237
SAL10022,64,68,39,24,35,7,4,239,8,15,8,10,8,0,0,43,14,13,6,9,4,0,0,40,56,46,17,22,12,0,0,156,0,0,3,0,0,0,0,4,137,135,73,56,61,9,4,485,5,6,9,11,3,4,0,46,18,14,4,4,11,0,0,49,6,5,5,0,0,0,0,17,73,92,44,51,47,4,3,311,3,6,3,0,0,0,0,14,109,125,67,68,57,8,3,435,248,258,137,119,122,20,10,913
SAL10023,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,5,0,0,19,0,0,0,0,0,0,0,0,6,8,0,0,7,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,6,0,0,0,0,0,0,0,0,5,6,0,0,0,0,0,6,10,10,3,0,3,0,0,27
SAL10024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,0,0,0,0,9
SAL10025,34,36,23,19,13,10,6,142,37,50,44,24,37,16,5,213,35,49,14,11,23,16,4,150,612,622,359,261,311,90,38,2288,4,0,0,0,0,0,0,9,717,764,447,317,383,123,54,2802,0,4,5,3,0,0,4,15,7,10,14,13,12,3,0,55,0,4,3,6,3,0,0,21,110,138,102,69,72,15,8,521,9,9,0,0,0,0,0,17,122,167,125,85,92,25,13,632,841,926,572,403,477,142,65,3435
SAL10026,21,21,5,0,14,4,0,71,18,10,10,7,9,5,4,68,24,12,10,8,10,3,3,68,238,188,116,76,74,15,7,716,7,0,5,0,0,0,0,3,292,234,146,100,103,36,13,927,3,5,4,0,4,0,0,12,10,11,7,4,0,0,0,35,0,4,8,0,5,0,0,23,79,101,67,41,39,11,3,337,0,0,0,0,0,0,0,4,90,118,85,46,54,9,8,418,384,357,232,145,156,48,22,1342
SAL10027,20,10,9,3,10,4,0,48,8,4,6,5,4,5,0,31,13,19,10,0,5,0,0,57,130,155,74,58,75,26,8,517,0,0,0,0,0,0,0,0,177,186,89,64,88,28,9,651,0,6,0,0,0,0,0,13,5,4,3,0,3,0,0,21,0,0,0,0,5,0,0,9,26,40,30,20,29,4,6,150,0,0,0,0,0,0,0,0,30,45,37,24,36,8,3,186,207,240,126,90,128,38,12,835
SAL10028,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,8,19,20,18,7,14,3,0,88,0,0,0,0,0,0,0,0,18,26,27,8,14,3,0,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,8,6,3,5,0,0,31,0,0,0,0,0,0,0,0,5,8,6,4,3,3,0,31,27,31,32,11,16,4,0,132
SAL10029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,6,3,0,4,0,0,25,0,0,0,0,0,0,0,0,7,6,6,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,7,13,10,0,3,0,0,35
SAL10030,105,102,40,12,25,14,4,297,93,33,20,10,17,4,0,187,66,47,12,0,10,0,0,137,159,98,53,31,29,12,4,403,0,0,0,0,0,0,0,5,432,280,123,57,73,33,15,1024,0,6,5,7,7,12,4,37,6,9,9,0,3,6,0,25,5,7,0,0,8,0,3,26,11,22,11,5,4,7,4,59,3,3,3,0,0,0,0,8,20,43,27,18,18,19,11,157,457,325,150,71,100,53,28,1173
SAL10031,16,21,18,7,14,5,13,93,12,14,9,18,18,13,10,92,17,25,14,7,12,6,0,80,86,117,64,41,69,32,19,434,0,0,0,4,0,0,0,7,131,171,108,71,115,61,45,706,0,0,0,0,3,0,0,8,0,3,5,0,5,4,0,12,0,0,0,4,4,0,0,3,3,15,9,3,4,3,4,38,0,0,0,0,0,0,0,0,3,12,14,8,17,8,4,64,133,185,117,86,125,68,51,773
SAL10032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,7,0,3,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,4,3,0,0,0,15
SAL10033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10034,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,4,0,4,0,0,10,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,3,0,4,0,0,16
SAL10035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,3,5,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,8,5,0,0,0,0,12
SAL10036,103,127,96,49,59,41,21,497,48,94,51,28,50,19,11,287,37,69,56,32,38,14,4,251,169,229,137,112,118,79,32,870,0,0,0,0,0,0,0,0,350,514,340,218,264,145,74,1908,3,3,8,4,0,4,0,26,8,4,4,4,5,3,0,41,0,3,3,3,0,0,0,14,9,17,10,14,14,9,7,82,0,0,0,0,0,0,0,0,20,34,24,29,21,19,10,169,380,549,361,243,287,164,82,2068
SAL10037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,4,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,10,0,0,0,0,0,0,0,0,0,0,0,5,0,3,0,10,0,3,3,5,7,3,0,15
SAL10038,189,132,61,40,46,41,24,534,19,11,5,7,8,9,0,54,32,19,5,4,10,5,0,76,33,25,20,11,10,8,8,98,0,0,0,0,0,0,0,0,269,181,92,60,70,59,29,760,5,9,9,18,13,14,6,88,0,0,4,3,3,0,3,12,0,6,5,3,4,0,0,17,7,7,4,0,7,3,0,32,0,0,0,0,0,0,0,4,14,27,26,19,31,21,15,151,282,214,115,78,96,86,44,915
SAL10039,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,0,0,0,0,14,0,0,0,0,0,0,0,0,0,6,9,3,4,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,9,3,4,0,0,14
SAL10040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,0,0,0,13,0,0,0,0,0,0,0,0,0,3,4,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,3,4,0,0,0,0,19
SAL10041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,9,5,9,0,3,0,0,21,0,0,0,0,0,0,0,0,10,9,9,0,3,0,0,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,6,9,11,9,0,7,0,0,32
SAL10042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,3,0,0,0,0,0,4
SAL10043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,12,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,3,0,0,12
SAL10044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,3,0,0,8,8,0,8,0,3,0,0,16,0,0,0,0,0,0,0,0,5,4,8,5,9,4,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,9,5,4,8,8,12,4,0,31
SAL10045,0,3,0,0,0,5,0,8,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,8,4,8,7,5,5,0,0,42,0,0,0,0,0,0,0,0,11,13,16,12,11,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,9,12,13,16,11,10,0,0,71
SAL10046,8,11,5,0,6,4,0,35,17,17,19,8,13,0,0,81,27,31,4,4,16,0,0,83,158,167,130,66,68,25,10,625,4,3,0,0,0,0,0,4,209,232,160,88,94,35,9,829,0,3,3,0,8,0,0,16,3,3,6,10,12,0,0,35,4,0,0,4,3,0,0,13,34,56,42,28,44,11,3,221,0,0,3,0,0,0,0,3,41,69,56,38,63,16,3,287,251,302,216,127,153,46,16,1118
SAL10047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,4,8,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,4,10,0,3,0,0,18
SAL10048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,4,3,3,4,0,0,0,0,6
SAL10049,103,107,65,42,53,34,25,424,44,34,26,19,15,5,0,142,25,27,14,7,14,3,0,98,154,135,77,56,49,16,5,494,4,5,0,4,4,0,0,15,334,306,183,128,133,67,35,1176,9,26,17,18,14,7,3,91,16,24,6,6,12,0,0,77,8,9,7,9,8,3,0,40,104,107,65,52,56,12,3,397,3,6,8,3,6,0,0,24,133,170,109,91,95,23,9,632,464,473,287,219,227,86,42,1810
