SAL_CODE_2021,O_OR_DS_Sep_house,O_OR_DS_SemiD_ro_or_tce_h_th,O_OR_DS_Flat_apart,O_OR_DS_Oth_dwell,O_OR_DS_not_stated,O_OR_Total,O_MTG_DS_Sep_house,O_MTG_DS_SemiD_ro_or_tce_h_th,O_MTG_DS_Flat_apart,O_MTG_DS_Oth_dwell,O_MTG_DS_not_stated,O_MTG_Total,R_RE_Agt_DS_Sep_house,R_RE_Ag_DS_SemD_ro_or_tc_h_th,R_RE_Agt_DS_Flat_apart,R_RE_Agt_DS_Oth_dwell,R_RE_Agt_DS_not_stated,R_RE_Agt_Total,R_ST_h_auth_DS_Sep_house,R_ST_h_au_DS_SD_ro_or_tc_h_th,R_ST_h_auth_DS_Flat_apart,R_ST_h_auth_DS_Oth_dwell,R_ST_h_auth_DS_not_stated,R_ST_h_auth_Total,R_Com_Hp_DS_Sp_ho,R_Com_Hp_DS_SD_ro_t_h_t,R_Com_Hp_DS_Flt_apt,R_Com_Hp_DS_Ot_dwel,R_Com_Hp_DS_NS,R_Com_Hp_Total,R_Psn_not_in_s_hh_DS_Sep_hous,R_P_not_in_s_h_DS_SD_ro_t_h_t,R_P_not_in_s_hh_DS_Flat_apart,R_Psn_not_in_s_hh_DS_Oth_dwel,R_Psn_not_in_s_hh_DS_NS,R_Psn_not_in_s_hh_Total,R_Ot_landld_typ_DS_Sep_house,R_O_LLd_typ_DS_SD_ro_tc_h_th,R_Ot_LLd_typ_DS_Flat_apart,R_Ot_landld_typ_DS_Oth_dwell,R_Ot_landld_typ_DS_not_stated,R_Ot_landld_typ_Total,R_Landld_typ_NS_DS_Sep_house,R_Ld_typ_NS_DS_SD_ro_tce_h_th,R_LLd_typ_NS_DS_Flat_apart,R_Landld_typ_NS_DS_Oth_dwell,R_Landld_typ_NS_DS_not_stated,R_Landld_typ_NS_Total,R_Tot_DS_Sep_house,R_Tot_DS_SemiD_ro_or_tce_h_th,R_Tot_DS_Flat_apart,R_Tot_DS_Oth_dwell,R_Tot_DS_not_stated,R_Tot_Total,Oth_ten_type_DS_Sep_house,Oth_ten_ty_DS_SD_ro_tce_h_th,Oth_ten_type_DS_Flat_apart,Oth_ten_type_DS_Oth_dwell,Oth_ten_type_DS_not_stated,Oth_ten_type_Total,Ten_type_NS_DS_Sep_house,Ten_ty_NS_DS_SD_ro_tce_h_t,Ten_ty_NS_DS_Flat_apart,Ten_type_NS_DS_Oth_dwell,Ten_type_NS_DS_not_stated,Ten_type_NS_Total,Total_DS_Sep_house,Total_DS_SemiD_ro_or_tce_h_th,Total_DS_Flat_apart,Total_DS_Oth_dwell,Total_DS_not_stated,Total_Total
SAL10012,5,0,0,0,0,3,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,11,0,0,0,0,8
SAL10013,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SAL10014,219,16,0,0,0,232,562,81,0,0,0,650,135,54,3,0,0,187,0,0,0,0,0,0,0,0,0,0,0,0,24,3,0,0,0,34,3,0,0,0,0,3,0,0,0,0,0,0,166,57,3,0,0,227,4,0,0,0,0,3,11,0,0,0,0,12,956,158,3,0,0,1125
SAL10015,68,0,0,0,0,71,29,0,0,0,0,29,10,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,8,8,0,0,0,0,8,0,0,0,0,0,0,22,0,0,0,0,20,4,0,0,0,0,3,5,0,0,0,0,5,127,0,0,0,0,131
SAL10016,554,98,34,0,0,686,653,66,63,0,0,781,301,160,211,0,0,672,17,44,24,0,0,91,6,10,0,0,0,14,93,32,23,0,0,153,49,15,6,0,0,65,4,0,3,0,0,8,476,252,270,7,0,1001,16,16,5,0,0,37,13,6,3,0,0,25,1714,440,374,7,0,2531
SAL10017,834,18,11,0,0,862,773,20,8,0,0,798,194,16,20,4,0,229,0,0,0,0,0,0,0,0,0,0,0,0,50,3,12,0,0,66,3,0,0,0,0,0,0,0,0,0,0,4,247,24,31,0,0,301,14,0,0,0,0,13,16,0,0,0,0,16,1889,52,49,0,0,1991
SAL10018,190,0,0,3,0,193,112,0,0,0,0,118,20,11,4,5,0,29,4,0,0,0,0,7,0,0,0,0,0,0,18,0,0,0,0,16,0,0,0,0,0,6,0,0,0,0,0,0,40,11,3,3,3,60,10,0,0,0,0,10,7,0,0,0,0,10,366,11,3,10,4,388
SAL10019,12,0,0,0,0,12,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,4,0,0,0,0,4,0,0,0,0,0,0,19,0,0,0,0,26
SAL10020,11,0,0,0,0,11,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,17
SAL10021,104,0,0,0,0,104,126,0,0,0,0,126,40,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,9,6,0,0,0,0,5,0,0,0,0,0,0,61,0,0,0,0,60,14,0,0,0,0,14,0,0,0,0,0,0,304,0,3,0,0,307
SAL10022,35,0,0,0,0,30,156,0,6,0,0,166,117,4,9,0,0,128,439,140,0,0,0,583,12,4,0,0,0,16,13,0,0,0,0,14,3,0,0,0,0,5,5,0,0,0,0,3,593,152,4,0,4,752,13,4,0,0,0,18,14,4,0,0,0,23,812,167,11,0,4,990
SAL10023,27,0,0,0,0,27,9,0,0,0,0,9,3,0,0,0,0,3,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,0,0,68
SAL10024,16,0,0,0,0,13,3,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,28,0,0,0,3,25
SAL10025,1297,182,4,0,0,1487,2083,214,11,0,0,2312,354,161,8,0,0,532,48,47,0,0,0,98,10,3,0,0,0,11,137,34,5,0,0,168,13,0,0,0,0,17,0,0,0,0,0,0,560,250,11,0,0,824,17,17,0,0,4,37,36,10,0,0,0,43,4004,672,23,4,7,4704
SAL10026,736,127,0,0,0,869,811,125,5,0,0,940,210,140,17,0,0,364,104,61,0,0,0,167,11,10,0,0,0,17,92,34,0,0,0,123,3,0,0,0,0,6,0,0,0,0,0,0,412,246,18,3,5,679,18,31,0,0,0,43,17,13,0,0,0,34,2003,536,23,3,5,2567
SAL10027,632,134,19,4,0,791,420,54,3,0,0,481,203,332,77,9,0,625,0,58,14,0,0,71,0,24,0,0,0,23,59,35,0,0,0,101,9,9,0,0,4,17,0,5,0,0,0,10,276,462,98,9,3,852,13,8,0,0,3,32,15,3,0,0,0,23,1360,665,129,17,8,2173
SAL10028,131,0,0,0,0,131,97,0,0,0,0,97,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,20,8,0,0,0,0,9,0,0,0,0,0,0,255,0,0,0,0,259
SAL10029,33,0,0,0,0,33,12,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,3,0,0,0,0,3,0,0,0,0,0,0,13,0,0,0,0,13,4,0,0,0,0,4,0,0,0,0,0,0,60,0,0,0,0,60
SAL10030,42,311,204,7,0,560,107,472,953,14,0,1535,46,367,1486,7,15,1919,0,32,18,0,0,54,0,12,24,0,0,37,8,84,157,0,4,263,4,10,53,0,4,67,0,0,4,0,0,5,65,510,1743,8,21,2344,0,11,15,0,0,26,4,5,26,0,0,32,214,1309,2939,25,26,4510
SAL10031,466,4,0,0,0,470,421,3,0,0,0,428,28,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0,0,37,0,0,0,0,0,0,5,0,0,0,0,5,930,8,0,0,0,941
SAL10032,13,0,0,0,0,13,15,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
SAL10033,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10034,15,0,0,0,0,15,8,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5,26,0,0,0,0,32
SAL10035,20,0,0,0,0,20,8,0,0,0,0,8,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,10,0,0,0,0,10,41,0,0,0,0,41
SAL10036,771,26,41,0,0,841,948,22,29,0,3,1003,159,3,40,0,0,202,3,0,0,0,0,3,40,15,40,0,0,96,67,0,18,0,0,89,8,0,9,0,0,19,0,0,6,0,0,7,286,26,119,0,0,420,19,8,30,0,0,49,18,0,0,0,0,16,2034,78,223,0,3,2339
SAL10037,11,0,0,0,0,11,16,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,32,0,0,0,0,32
SAL10038,174,20,326,4,0,520,106,21,395,0,0,520,53,20,710,10,0,796,0,0,12,0,0,17,0,0,12,0,0,17,7,8,75,0,0,93,6,0,7,0,0,10,0,0,3,0,0,5,67,29,828,14,0,939,8,0,20,0,0,33,7,0,18,0,0,27,362,71,1582,22,0,2039
SAL10039,8,0,0,0,0,8,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14
SAL10040,30,0,0,0,0,32,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,50
SAL10041,31,0,0,0,0,31,32,0,0,0,0,32,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,3,80,0,0,0,0,80
SAL10042,20,0,0,0,0,20,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,0,0,25
SAL10043,11,0,0,0,0,11,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SAL10044,21,0,0,0,0,21,13,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,3,0,0,0,0,6,46,0,0,0,0,52
SAL10045,78,0,0,0,0,78,52,0,0,0,0,52,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,18,0,0,0,0,0,5,9,0,0,0,0,9,153,0,0,0,0,157
SAL10046,921,190,9,0,0,1121,553,82,4,0,0,640,219,132,9,0,0,361,28,17,0,0,0,47,6,7,0,0,0,12,81,46,4,0,0,136,9,7,0,0,0,14,0,0,0,0,0,4,340,209,17,0,0,569,30,64,0,0,0,94,19,17,0,0,0,35,1870,560,25,3,4,2461
SAL10047,11,0,0,0,0,12,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,33,0,0,0,0,34
SAL10048,6,0,0,3,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,3,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,9,0,10
SAL10049,482,20,7,0,0,510,695,40,22,0,0,753,395,48,62,0,0,502,317,94,0,0,0,412,9,6,0,0,0,13,64,3,5,0,0,68,9,0,0,0,0,13,5,3,0,0,0,8,794,154,67,0,0,1012,14,7,0,0,0,19,31,7,0,0,0,40,2019,224,93,0,0,2335
SAL10050,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SAL10051,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3
SAL10052,14,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,14
SAL10053,10,0,0,0,0,10,9,0,0,0,0,9,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0,19
SAL10054,10,0,0,0,0,10,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,16
SAL10055,12,0,0,0,0,12,8,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21
SAL10056,29,0,0,0,0,29,18,0,0,0,0,18,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,0,0,61
SAL10057,5,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,10,0,0,0,3,20
SAL10058,23,0,0,0,0,23,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,33
SAL10059,42,7,0,0,0,47,19,9,0,0,0,27,6,3,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,68,13,3,0,0,81
SAL10060,56,0,0,0,0,55,25,0,0,0,0,28,11,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,116,0,0,0,0,120
SAL10061,766,79,0,9,13,872,410,54,0,3,0,471,117,77,0,0,0,192,0,0,0,0,0,0,3,0,0,0,0,6,56,11,4,3,0,71,32,3,0,0,0,40,0,0,0,0,0,0,211,96,3,5,0,314,30,5,0,0,0,29,12,0,0,0,0,16,1440,232,8,14,16,1707
SAL10062,336,518,119,8,0,976,308,671,188,5,0,1164,151,459,617,28,8,1257,3,5,45,0,0,57,0,0,40,0,0,45,46,104,58,7,0,215,0,4,3,0,0,7,0,0,0,0,0,6,204,574,762,31,8,1584,15,19,12,0,0,42,9,13,8,0,0,29,864,1790,1093,47,8,3794
SAL10063,193,0,0,0,0,199,152,0,3,0,0,157,27,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,45,10,0,0,0,0,8,8,0,0,0,0,8,402,0,8,0,0,406
SAL10064,240,3,0,4,0,253,535,5,0,0,0,539,102,5,4,3,4,119,5,0,0,0,0,5,7,0,0,0,0,7,20,0,0,0,0,23,4,0,0,0,0,4,0,0,0,0,0,0,144,5,7,3,4,163,11,0,0,0,0,16,6,0,0,0,0,6,930,18,10,10,4,972
SAL10065,14,0,0,0,0,14,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
SAL10066,4,0,0,0,0,4,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,13
SAL10067,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10
SAL10068,19,0,0,0,0,19,15,0,0,0,0,16,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,0,39
SAL10069,5,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,0,0,0,0,5
SAL10070,112,0,0,0,0,113,48,0,0,0,0,52,14,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,15,5,0,0,0,0,5,0,0,0,0,0,0,180,4,0,0,0,182
SAL10071,50,0,0,0,0,50,35,0,0,0,0,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,0,0,92
SAL10072,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SAL10073,202,0,0,0,0,202,161,0,3,0,0,168,28,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,0,0,49,15,0,0,0,0,15,12,0,0,0,0,12,442,0,3,0,4,447
SAL10074,200,0,0,0,0,200,235,5,0,0,0,238,57,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,0,0,94,0,0,0,0,0,0,5,0,0,0,0,4,534,3,6,0,0,544
SAL10075,13,0,0,0,0,13,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0,0,17
